EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0192,STRIP PHOTORESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0193,CLEAN AFTER VIA ETCH,MEASURE VIA CD,STRIP RESIST,DEPOSIT BARRIER METAL,CLEAN AFTER FIELD ETCH
valid_0194,PASSIVATION ETCH,STRIP RESIST,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,CLEAN PAD OPENING
valid_0195,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0196,CLEAN PAD OPENING,STRIP RESIST,MEASURE PAD OPENING,BACKSIDE CLEAN,PASSIVATION ETCH
valid_0197,STRIP RESIST,VIA ETCH,HARD BAKE,CLEAN AFTER VIA ETCH,FIELD OXIDE ETCH
valid_0198,STRIP RESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0199,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,STRIP RESIST
valid_0200,STRIP RESIST,PASSIVATION ETCH,CLEAN PAD OPENING,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0201,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DENSIFY DIELECTRIC
valid_0202,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,MEASURE PASSIVATION QUALITY
valid_0203,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0204,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,MEASURE PASSIVATION QUALITY
valid_0205,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS
valid_0206,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0207,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DENSIFY DIELECTRIC
valid_0208,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,MEASURE PASSIVATION QUALITY
valid_0209,CMP DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DENSIFY DIELECTRIC
valid_0210,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,MEASURE PASSIVATION QUALITY
valid_0211,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0212,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,MEASURE PASSIVATION QUALITY
valid_0213,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0214,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0215,MEASURE PLANARITY,CMP DIELECTRIC,SPIN COAT PHOTORESIST,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0216,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW,CURE PASSIVATION,DEPOSIT PASSIVATION
valid_0217,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DENSIFY DIELECTRIC
valid_0218,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,CLEAN AFTER METAL ETCH,CURE PASSIVATION
valid_0219,SOFT BAKE,ALIGN MASK LEVEL 5,SPIN COAT PHOTORESIST,MEASURE PLANARITY,MEASURE POLY THICKNESS
valid_0220,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN PAD WINDOW,CURE PASSIVATION,DEPOSIT PASSIVATION
valid_0221,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0222,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,OPEN PAD WINDOW,DEPOSIT PASSIVATION
valid_0223,MEASURE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0224,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0225,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0226,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0227,MEASURE DIELECTRIC THICKNESS,CMP DIELECTRIC,DENSIFY DIELECTRIC,DENSIFY OXIDE,MEASURE PLANARITY
valid_0228,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,MEASURE PASSIVATION QUALITY
valid_0229,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0230,CURE PASSIVATION,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS
valid_0231,DENSIFY OXIDE,DENSIFY DIELECTRIC,MEASURE DIELECTRIC THICKNESS,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC
valid_0232,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,CLEAN AFTER METAL ETCH,CURE PASSIVATION
valid_0233,SOFT BAKE,ALIGN MASK LEVEL 5,SPIN COAT PHOTORESIST,MEASURE PLANARITY,ALIGN MASK LEVEL 3
valid_0234,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0235,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DENSIFY DIELECTRIC
valid_0236,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,CLEAN AFTER METAL ETCH,CURE PASSIVATION
valid_0237,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS
valid_0238,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS
valid_0239,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0240,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0241,MEASURE DIELECTRIC THICKNESS,DENSIFY DIELECTRIC,CMP DIELECTRIC,DENSIFY OXIDE,MEASURE PLANARITY
valid_0242,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS
valid_0243,CMP DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DENSIFY DIELECTRIC
valid_0244,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,CLEAN AFTER METAL ETCH,CURE PASSIVATION
valid_0245,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0246,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,OPEN PAD WINDOW,DEPOSIT PASSIVATION
valid_0247,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS
valid_0248,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0249,SOFT BAKE,ALIGN MASK LEVEL 5,SPIN COAT PHOTORESIST,MEASURE PLANARITY,MEASURE POLY THICKNESS
valid_0250,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0251,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0252,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW,CURE PASSIVATION,DEPOSIT PASSIVATION
valid_0253,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0254,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW,CURE PASSIVATION,DEPOSIT PASSIVATION
valid_0255,MEASURE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0256,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,OPEN PAD WINDOW,DEPOSIT PASSIVATION
valid_0257,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0258,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0259,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0260,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0261,MEASURE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0262,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0263,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DENSIFY DIELECTRIC
valid_0264,CURE PASSIVATION,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS
valid_0265,MEASURE FILM THICKNESS,CMP DIELECTRIC,DENSIFY DIELECTRIC,DENSIFY OXIDE,MEASURE PLANARITY
valid_0266,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0267,SOFT BAKE,ALIGN MASK LEVEL 5,SPIN COAT PHOTORESIST,MEASURE PLANARITY,ALIGN MASK LEVEL 3
valid_0268,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS
valid_0269,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0270,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW,CURE PASSIVATION,DEPOSIT PASSIVATION
valid_0271,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0272,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0273,MEASURE DIELECTRIC THICKNESS,CMP DIELECTRIC,DENSIFY DIELECTRIC,DENSIFY OXIDE,MEASURE PLANARITY
valid_0274,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,MEASURE PASSIVATION QUALITY
valid_0275,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0276,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS
valid_0277,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS
valid_0278,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW,CURE PASSIVATION,DEPOSIT PASSIVATION
valid_0279,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0280,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0281,DENSIFY OXIDE,DENSIFY DIELECTRIC,MEASURE DIELECTRIC THICKNESS,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC
valid_0282,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH,STRIP RESIST,DEPOSIT PASSIVATION,CLEAN AFTER POLY ETCH
valid_0283,MEASURE PLANARITY,CMP DIELECTRIC,SPIN COAT PHOTORESIST,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0284,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0285,MEASURE FILM THICKNESS,CMP DIELECTRIC,DENSIFY DIELECTRIC,DENSIFY OXIDE,MEASURE PLANARITY
valid_0286,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,MEASURE PASSIVATION QUALITY
valid_0287,EXPOSE LITHO LEVEL 5,ALIGN MASK LEVEL 5,EXPOSE LITHO LEVEL 3,DEVELOP PHOTORESIST,POST EXPOSE BAKE
valid_0288,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,OPEN PAD WINDOW,DEPOSIT PASSIVATION
valid_0289,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0290,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,MEASURE PASSIVATION QUALITY
valid_0291,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0292,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS
valid_0293,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0294,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,MEASURE PASSIVATION QUALITY
valid_0295,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0296,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0297,MEASURE DIELECTRIC THICKNESS,CMP DIELECTRIC,DENSIFY DIELECTRIC,DENSIFY OXIDE,MEASURE PLANARITY
valid_0298,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,CLEAN AFTER METAL ETCH,CURE PASSIVATION
valid_0299,MEASURE SURFACE PLANARITY,CMP DIELECTRIC,SPIN COAT PHOTORESIST,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0300,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0301,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0302,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0303,MEASURE DIELECTRIC THICKNESS,CMP DIELECTRIC,DENSIFY DIELECTRIC,DENSIFY OXIDE,MEASURE PLANARITY
valid_0304,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,CLEAN AFTER METAL ETCH,CURE PASSIVATION
valid_0305,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0306,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW,CURE PASSIVATION,DEPOSIT PASSIVATION
valid_0307,MEASURE PLANARITY,CMP DIELECTRIC,SPIN COAT PHOTORESIST,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0308,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0309,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0310,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0311,MEASURE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0312,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS
valid_0313,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DENSIFY DIELECTRIC
valid_0314,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,MEASURE PASSIVATION QUALITY
valid_0315,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0316,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,CLEAN AFTER METAL ETCH,CURE PASSIVATION
valid_0317,MEASURE FILM THICKNESS,CMP DIELECTRIC,DENSIFY DIELECTRIC,DENSIFY OXIDE,MEASURE PLANARITY
valid_0318,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,OPEN PAD WINDOW,DEPOSIT PASSIVATION
valid_0319,MEASURE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0320,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0321,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0322,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS
valid_0323,SOFT BAKE,ALIGN MASK LEVEL 5,SPIN COAT PHOTORESIST,MEASURE PLANARITY,MEASURE POLY THICKNESS
valid_0324,OPEN PAD WINDOW,PAD WINDOW LITHO,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,THERMAL OXIDATION
valid_0325,CMP DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DENSIFY DIELECTRIC
valid_0326,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,MEASURE PASSIVATION QUALITY
valid_0327,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0328,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0329,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0330,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW,CURE PASSIVATION,DEPOSIT PASSIVATION
valid_0331,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,CMP DIELECTRIC,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0332,CURE PASSIVATION,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS
valid_0333,DENSIFY OXIDE,DENSIFY DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS
valid_0334,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,CLEAN AFTER METAL ETCH,CURE PASSIVATION
valid_0335,CMP DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DENSIFY DIELECTRIC
valid_0336,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW,CURE PASSIVATION,DEPOSIT PASSIVATION
valid_0337,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DENSIFY DIELECTRIC
valid_0338,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,MEASURE PASSIVATION QUALITY
valid_0339,SOFT BAKE,ALIGN MASK LEVEL 5,SPIN COAT PHOTORESIST,MEASURE PLANARITY,ALIGN MASK LEVEL 3
valid_0340,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0341,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS
valid_0342,OPEN PAD WINDOW,PAD WINDOW LITHO,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,THERMAL OXIDATION
valid_0343,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0344,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW,CURE PASSIVATION,DEPOSIT PASSIVATION
valid_0345,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0346,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW,CURE PASSIVATION,DEPOSIT PASSIVATION
valid_0347,CMP INTERLAYER DIELECTRIC,MEASURE PLANARITY,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,DENSIFY DIELECTRIC
valid_0348,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,MEASURE PASSIVATION QUALITY
valid_0349,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE DEVICE PARAMETER,DENSIFY DIELECTRIC,DENSIFY OXIDE
valid_0350,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH,STRIP RESIST,CLEAN AFTER POLY ETCH,DEPOSIT PASSIVATION
valid_0351,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DENSIFY DIELECTRIC
valid_0352,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,CURE PASSIVATION,MEASURE PASSIVATION QUALITY
valid_0353,ALIGN MASK LEVEL 5,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 5,SOFT BAKE,ALIGN MASK LEVEL 2
valid_0354,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS
valid_0355,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS
valid_0356,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,CLEAN AFTER METAL ETCH,CURE PASSIVATION
valid_0357,MEASURE PLANARITY,CMP DIELECTRIC,SPIN COAT PHOTORESIST,SOFT BAKE,MEASURE DIELECTRIC THICKNESS
valid_0358,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0359,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0360,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0361,SPIN COAT PHOTORESIST,MEASURE PLANARITY,SOFT BAKE,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS
valid_0362,CURE PASSIVATION,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0363,MEASURE FILM THICKNESS,CMP DIELECTRIC,DENSIFY DIELECTRIC,DENSIFY OXIDE,MEASURE PLANARITY
